node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_EX_gm1lipb_e,1,0,0.0,5.0,0.0,0
R_EX_gm2lipa_e,1,0,0.0,306.0,0.0,0
R_EX_gua_e,0,0,0.0,0.0,0.0,0
R_EX_h_e,3,0,0.0,0.5555555555555555,0.0,0
R_EX_h2_e,0,0,0.0,0.0,0.0,0
R_EX_h2o_e,0,0,0.0,0.0,0.0,0
R_EX_hdca_e,0,0,0.0,0.0,0.0,0
R_EX_hdcea_e,0,0,0.0,0.0,0.0,0
R_EX_hxan_e,0,0,0.0,0.0,0.0,0
R_EX_ibt_e,0,0,0.0,0.0,0.0,0
R_EX_ile__L_e,0,0,0.0,0.0,0.0,0
R_EX_isetac_e,0,0,0.0,0.0,0.0,0
R_EX_k_e,0,0,0.0,0.0,0.0,0
R_EX_gm1lipa_e,1,0,0.0,308.0,0.0,0
R_EX_kdo2lipid4_e,1,0,0.0,308.0,0.0,0
R_DM_5drib_c,1,0,0.0,88.0,0.0,0
R_DM_amob_c,1,0,0.0,4.0,0.0,0
R_EX_kdo2lipid4b_e,1,0,0.0,5.0,0.0,0
R_3HAD100,1,247,0.0008970794299265356,0.0022243640470352355,1.995431231263451e-06,1
R_3HAD120,1,246,0.00019487009287333826,0.003084092257111819,6.009973445733236e-07,0
R_EX_leu__L_e,0,0,0.0,0.0,0.0,0
R_3HAD121,1,246,0.00019601300550503594,0.0030839800921680467,6.045002067835566e-07,0
R_EX_lipa_e,1,0,0.0,307.0,0.0,0
R_3HAD140,1,246,0.000190499353637711,0.003084140361289375,5.875267453536024e-07,0
R_BIOMASS_Gm_GS15_WT_79p20M,444,226,0.02428988051409463,0.00018721620711947742,4.547459301234099e-06,0
R_BIOMASS_Gm_GS15_core_79p20M,340,226,0.01228680110254071,0.0003743698201057271,4.599807518433015e-06,0
R_3HAD141,1,246,0.0001947891558819766,0.003084047684469297,6.007390451575389e-07,0
R_3HAD160,1,246,0.0001947891558819766,0.0030840476844692976,6.00739045157539e-07,0
R_EX_2obut_e,0,0,0.0,0.0,0.0,0
R_EX_lipb_e,1,0,0.0,5.0,0.0,0
R_EX_3httdca_e,3,0,0.0,0.5555555555555555,0.0,0
R_EX_3mb_e,0,0,0.0,0.0,0.0,0
R_EX_4crsol_e,1,0,0.0,2.0,0.0,0
R_EX_4hba_e,0,0,0.0,0.0,0.0,0
R_EX_4hbald_e,0,0,0.0,0.0,0.0,0
R_3HAD161,1,246,0.0001947891558819766,0.003084047684469297,6.007390451575389e-07,0
R_3HAD180,1,246,0.0001947891558819766,0.003084002721570607,6.00730286872457e-07,0
R_3HAD181,1,246,0.0001947891558819766,0.003084002721570607,6.00730286872457e-07,0
R_3HAD40,1,246,0.00019496640508155066,0.0030839921990002714,6.012748723386291e-07,0
R_3HAD60,1,246,0.0001947486873862958,0.0030839800921680467,6.006010748751946e-07,0
R_3HAD80,1,246,0.0001947486873862958,0.0030840027215706064,6.006054819216395e-07,0
R_3HOPCD,40,213,0.0009917151073238057,0.00832935941670533,8.260351567876477e-06,0
R_3MBt2pp,17,209,0.00044560429827062185,0.004715042505429244,2.101043206947953e-06,0
R_3MBt4pp,3,2,1.9389828783898308e-05,0.36139630390143734,7.00741245578255e-06,0
R_3MBtex,0,3,0.0,1.6011463393846415,0.0,0
R_3MMD,40,212,0.0009675542172786352,0.00821577355334271,7.949206349743017e-06,0
R_3OAR100,421,19,0.0016716114965635246,0.0013931163981544651,2.3287493872061724e-06,2
R_3OAR120,421,19,0.000969887781458498,0.0013931024577779076,1.3511530521185957e-06,1
R_3OAR121,421,19,0.0009905708419808267,0.0013930934323093712,1.3799577342006538e-06,1
R_3OAR140,421,23,0.0032910403271601556,0.0013226424401140925,4.35286960882899e-06,1
R_EX_lys__L_e,0,0,0.0,0.0,0.0,0
R_3OAR141,421,19,0.0009697436227810793,0.0013930979554031228,1.3509478581615387e-06,1
R_3OAR160,421,19,0.0009698876700055644,0.0013931024577779074,1.3511528968532397e-06,1
R_3OAR161,421,19,0.0009698877307653662,0.0013931024577779074,1.351152981497869e-06,1
R_EX_4hbz_e,0,0,0.0,0.0,0.0,0
R_EX_meoh_e,0,0,0.0,0.0,0.0,0
R_EX_Lcyst_e,0,0,0.0,0.0,0.0,0
R_3OAR180,421,19,0.0009698877124947181,0.0013931024577779074,1.3511529560449841e-06,1
