node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_EX_tyr__L_e,0,0,0.0,0.0,0.0,0
R_EX_val__L_e,0,0,0.0,0.0,0.0,0
R_EX_ser__D_e,0,0,0.0,0.0,0.0,0
R_EX_orn_e,1,0,0.0,7.0,0.0,0
R_GGTT,1,2,1.0334734162064608e-07,21.21190985552267,2.1921944942650507e-06,0
R_DRPA,1,5,0.0016664337643246042,0.386037981256011,0.0006433067262767255,0
R_HEXTT,1,2,1.0334734162064608e-07,21.21190985552267,2.1921944942650507e-06,0
R_EX_ptrc_e,0,0,0.0,0.0,0.0,0
R_PPM2,2,1,0.0016683808389423445,1.815372579698807,0.003028732827510824,1
R_G1PTT,297,4,0.002582440790898557,0.0011225497169502841,2.8989181788640426e-06,3
R_HCO3E,118,124,0.005073081219006276,0.00267942672944875,1.3592949418869863e-05,0
R_CYTBD,303,264,0.039127020609645326,0.000448418600764511,1.754528383386134e-05,0
R_MAN6PI,1,1,0.0008323743990840958,0.4833333333333333,0.0004023142928906463,0
R_NO3R2,301,267,0.039564187715023943,0.00034262516216900603,1.3555686231945075e-05,0
R_TDPGDH,1,207,0.0012544502458385395,0.0021454279952584612,2.6913326760808615e-06,1
R_PPA,142,131,0.034954897152048546,0.0006813558361109846,2.3816723175207513e-05,0
R_TDPDRE,1,1,1.4441738922952536e-08,63.64179104477612,9.190981308577554e-07,0
R_TDPDRR,302,26,0.002433394839769371,0.001161231054629283,2.825733656114842e-06,0
R_PPK,117,5,0.000208860278630413,0.005621133529632532,1.1740315152178075e-06,0
R_GCALDD,84,127,0.0005089192964905036,0.006430304350158353,3.272505966102414e-06,0
R_MAN1PT,297,3,0.0005255668162305439,0.001583713676467224,8.323473547616485e-07,0
R_GLUSy,307,42,0.0023682275084239016,0.0013485926943405948,3.193774316396903e-06,0
R_TRE6PH,55,4,0.0026662317940991586,0.019341026252807262,5.1567659125741233e-05,0
R_UAGDP,298,9,0.00462306500900099,0.001035376470519865,4.786612732003333e-06,2
R_NTRIR2x,319,253,0.010831879763113431,0.0005407743962071856,5.857603238686498e-06,0
R_UAG2EMA,55,122,0.0006787536109573179,0.010128365786183613,6.874664850468681e-06,0
R_G6PI,2,1,0.0008323743990840962,0.39202657807308966,0.0003263128873485825,1
R_NTRIR2y,302,226,0.00871506082556105,0.0006204908744807441,5.407615712805252e-06,0
R_FBP,55,13,0.0002641184196053868,0.04914280237112436,1.2979519297241222e-05,0
R_FBA,1,6,1.4581907628302343e-05,0.698455082796453,1.0184807499856142e-05,0
R_UAG2E,1,1,1.96461063114443e-06,62.52606177606177,0.00012283936568884435,0
R_UACMAMO,84,127,0.001146855053853427,0.004570099128391619,5.24124128200707e-06,0
R_UAGCVT,5,13,0.0001052435434111662,0.3286401702776262,3.4587256027266404e-05,0
R_UAPGR,302,25,0.0009780499569431572,0.0015710415735396067,1.5365571433563223e-06,0
R_AHEXASE3,54,0,0.0,0.09640935063981745,0.0,0
R_PPM,1,4,0.0007007606200171057,0.5833755555233864,0.00040880661599139174,0
R_PMANM,0,1,0.0,2.0,0.0,1
R_FBA2,1,4,9.347944872565705e-06,1.149038491910339,1.0741148478833882e-05,0
R_TPI,7,3,0.00012038367377691243,0.09343503523398664,1.1248052800942566e-05,0
R_GAPD,156,127,0.009540612983902921,0.001283426616097101,1.224467663742259e-05,0
R_ASPT,4,9,2.0288396956773292e-05,0.3032311799868165,6.1520745492433016e-06,0
R_PGK,5,3,0.00014013319608264865,0.3496580603296345,4.899870153005126e-05,0
R_PGM,1,2,1.0106652443754254e-06,2.3959248199543297,2.4214779436642896e-06,0
R_GLUSx_copy1,325,87,0.0037434596453957644,0.0010493773390360243,3.928301721474146e-06,0
R_ENO,1,212,2.697186721996701e-05,0.0022097381435729293,5.960076379934545e-08,0
R_UAG4E,1,1,0.0,13.248511904761905,0.0,0
R_NPPDO,3,121,0.00013618541503314184,0.010953738636151775,1.4917394423288906e-06,0
R_PPS,81,142,0.01111432672289666,0.0027643212384177366,3.072356941081704e-05,0
R_ACS,36,17,0.001126588995910424,0.015716062237340747,1.7705542775631444e-05,0
R_DAAD,60,18,0.0005978534330596701,0.026206899257510678,1.566788469095168e-05,0
R_CS,76,150,0.003955945952490166,0.0029450689276259603,1.1650533504046473e-05,0
R_LDH_D,35,133,0.00031041411973201837,0.012134279293314471,3.7666516254166695e-06,0
R_ALDD2x,88,130,0.001797521829652965,0.003914116149364567,7.0357092222800156e-06,0
R_PPAKr,113,167,0.019978308605158333,0.0005977709122353586,1.1942451759825012e-05,0
R_ACCOAC,19,134,0.001339675516709137,0.010444505897901109,1.3992248835542297e-05,0
R_ALCD2x,34,129,0.00018621682172305956,0.015873979867410036,2.956002079004931e-06,0
R_ADSK,3,124,0.00043749959517575253,0.022082228701399035,9.66096611744046e-06,0
R_ACKr,14,3,0.0013512348030381835,0.06666358925369964,9.00781618950412e-05,0
R_SADT,297,3,0.0005637434759535468,0.0017937261668579544,1.0112014242133348e-06,0
R_MALS,74,153,0.0033132726775136415,0.0030651998270503716,1.0155842838085535e-05,0
R_LGTHL,3,1,1.0680157229898248e-06,1.6098595515505651,1.719355312861352e-06,0
R_ACONT,2,2,0.00015917068789490356,1.721274290034872,0.00027397641280066235,0
R_GDH1,121,143,0.006677802953568308,0.0028807258923156283,1.9236919872126e-05,0
R_AKGDa,302,8,0.00036771618946378144,0.0016205063887050897,5.95886434256349e-07,0
R_PTAr,131,28,0.0020535810705784832,0.0032460642470104944,6.666056091542349e-06,0
R_PTA2,123,29,0.0021952738937320083,0.003402387308895379,7.469172035583128e-06,0
R_PPC,119,135,0.007176801180055657,0.0025404249092908933,1.823212448684167e-05,0
R_ME1,37,48,0.0003597472943095156,0.04153992387834957,1.49438752210595e-05,0
R_ME2,53,65,0.0013040605464195206,0.012533801183172544,1.6344835619641622e-05,0
R_ICDHyr,52,77,0.002792292036492206,0.005939972563048629,1.6586138084782886e-05,0
R_AKGDb,23,4,0.0002614604158798654,0.09663058671337081,2.526507338879333e-05,0
R_MDH,37,131,0.001156140769639932,0.011927254272450482,1.3789584934242067e-05,0
R_ACACT1r,16,30,8.49946727001187e-05,0.041685603052636,3.543054187765866e-06,0
R_GLUDy,141,166,0.010784959634552579,0.0018796873466472978,2.0272352159170347e-05,0
R_LDH_L,35,133,0.0011308428605899877,0.004008456081016288,4.5329339412057905e-06,0
R_SUCOAS,39,17,0.004371595551822261,0.017390971439930528,7.602629338866828e-05,0
R_IPDPS,319,255,0.014956157301338978,0.0003530756128426085,5.2806544049407126e-06,3
R_FUM,63,5,0.0009013393172691676,0.014479584036901177,1.3051018390162044e-05,0
R_FRD2,13,7,0.0001686147135928294,0.05375603807592398,9.064058964057154e-06,0
R_FRD3,10,5,6.361249221362537e-05,0.10440428033825412,6.64141647008635e-06,0
R_GLYOX,55,124,0.0017881246250559936,0.007242465423482367,1.2950430769845406e-05,0
R_PAPSR,2,121,1.3015341419897176e-05,0.022433270657410204,2.9197667677115495e-07,0
R_RPE,1,2,5.7398137168810725e-06,0.7407407407407407,4.25171386435635e-06,0
R_RPI,2,3,0.002501302530441299,0.19102480614373046,0.0004778108309843716,3
R_DMALRED,7,7,0.00016080392055131058,0.3843927117537053,6.181185508134566e-05,0
R_TKT1,5,3,0.0008063543529166007,0.10492748925081802,8.460873769800694e-05,0
R_MCOATA,29,45,0.0018559876653096987,0.009201827381996581,1.7078478119294693e-05,0
R_TKT2,4,4,0.0009224257526744212,0.1225255905065081,0.00011302076004484366,0
R_TALA,8,4,0.00016986590080365246,0.08380412007114123,1.4235462346941855e-05,0
R_EDA,1,12,2.5222611658839805e-06,0.36477069217211777,9.200469513183524e-07,0
R_IPPS,71,149,0.0023018872781107426,0.004331499912093056,9.970624542784806e-06,1
R_GNK,3,124,0.001951895127715699,0.021693691398077603,4.234381054207565e-05,2
R_SULR,301,225,0.010293448908686746,0.0005865051989693129,6.037161300269777e-06,0
R_EDD,1,207,0.0008457129742507611,0.002638144954052672,2.2311134155965227e-06,1
R_ACOATA,44,36,0.0019050422593500681,0.008506322420968722,1.6204903683602395e-05,0
R_UDPGD,84,127,0.0005616353885821351,0.008825063329832763,4.956467872512575e-06,0
R_FRUK,3,125,0.0010056665682755266,0.013742062972411187,1.3819933310490942e-05,1
R_FCLPA,0,3,0.0,3.1198836343955074,0.0,0
R_PEPCK_re,7,17,0.0005950623640863141,0.05635077687402912,3.353222650476016e-05,0
R_ICL,2,6,0.00010408733445860395,0.3397996729987293,3.5368842212342995e-05,0
R_GALUi,298,5,0.0016264148375630314,0.0013676507801084403,2.224367521373022e-06,1
R_UDPG4E,1,1,7.3015298165271595e-06,13.23343373493976,9.662431099069903e-05,0
R_TRE6PS,3,124,0.0017288463362489593,0.010286940677633562,1.778453970173717e-05,0
R_TRE6PP,55,12,6.531442279417065e-05,0.056359020151553134,3.6810568704437252e-06,0
R_FDH,41,39,0.00041238687418602304,0.016954585668489456,6.991848586947511e-06,0
R_PGLYCP,54,12,3.9388205889278624e-05,0.05896616877906867,2.32257159637191e-06,0
R_TRSARr,319,70,0.0024097086890915716,0.000999673867997717,2.4089228059718796e-06,0
R_GF6PTA,10,19,0.0045369824476736795,0.018848584727096843,8.551569807032856e-05,0
R_TARTRDH,34,127,0.000176174353761325,0.016433631049117495,2.8951843300303203e-06,0
R_RDXR,70,191,0.0032399916220769653,0.003581933690100026,1.1605435146759313e-05,0
R_TARTRDH2,34,127,0.000176174353761325,0.016433631049117495,2.8951843300303203e-06,0
R_MALDDH,35,48,0.00018899981836355972,0.04556445941132521,8.611674552574254e-06,0
R_HPYRI,0,2,0.0,88.82891061452514,0.0,0
R_MCITS,68,149,0.0038381633952387587,0.002640896474310178,1.013619217831242e-05,2
R_MCITL2,1,13,0.0008304639728302558,0.09934391467377618,8.250154205649412e-05,0
R_ACLDC,298,9,0.00020048475776077873,0.0017099306189214708,3.428150259222095e-07,0
R_PGAMT,0,0,0.0,0.0,0.0,0
R_G1PACT,16,148,0.0007577047472122488,0.007123866185055669,5.3977872269214925e-06,0
R_GLUPRT,60,22,0.0007727258378135378,0.02470855498852761,1.9092938854671865e-05,0
R_ETHAAL,2,7,1.6012502011446636e-06,2.233780119428988,3.5768408655486174e-06,0
R_PRPPS,4,129,0.0006680493610178545,0.005713229564611452,3.816719359986995e-06,0
R_PPCOAC,11,133,0.0009226845717987472,0.012699405391180923,1.1717545425460472e-05,0
R_DMATT,3,3,0.0008316222588317236,0.2436153609468859,0.00020259595675675492,0
R_SSALx,84,130,0.0009161474606870568,0.006994534325921621,6.4080248613815474e-06,0
R_DXPS,323,9,0.000676580733784581,0.0008408879972349044,5.689286181998384e-07,0
R_HACD1,320,70,0.002768052695041235,0.0010148410023277463,2.8091333715316664e-06,0
R_PPRGL,10,135,0.001253331552089932,0.010665976367748622,1.3368004715544917e-05,0
R_SSALy,102,148,0.002575976859004707,0.003782636564188835,9.743984255375512e-06,0
R_DXPRIi,302,25,0.0006142726991045428,0.0016117982472450914,9.900836597472135e-07,0
R_ABTA,11,21,3.9358639407413245e-05,0.12981380333360368,5.109294675512167e-06,0
R_PRFGS,61,150,0.0010223338649357177,0.005265681283515548,5.3832842980961215e-06,0
R_GARFT,4,123,0.0002804187019607975,0.020355292258369243,5.708004633124573e-06,0
R_PRFGCL,3,17,0.0008372656282402623,0.08488879351066796,7.10744690292673e-05,1
R_MEPCT,298,3,0.0010533202734144132,0.001711491050358266,1.8027482211096902e-06,0
R_PRASCSi,8,134,0.0010062219262955375,0.010409214510057207,1.0473979875533222e-05,1
R_BDH,34,128,0.0004696313390560775,0.012915094361385052,6.0653330589728585e-06,0
R_MECDPS,1,3,1.3817535205617264e-06,2.7469867427529944,3.7956586027353397e-06,0
R_MECDPDH2,68,251,0.003962703088891869,0.001343276441951191,5.323005705755664e-06,0
R_HBCO_nadp,303,25,0.0015310421051103523,0.0012995308304775723,1.9896364183501864e-06,0
R_GRTT,2,4,4.2142678768149435e-06,0.4170602795365265,1.7576037387462444e-06,0
R_GLYCK,5,125,0.00023379359064645274,0.015885827673936065,3.714004692280299e-06,0
R_GLYK,2,131,7.817775924025555e-05,0.010225722167565123,7.994240456736503e-07,0
R_BTDD_RR,34,129,0.00019891247121401015,0.015764380126303535,3.1357318080800654e-06,0
R_AIRC1,120,134,0.006932774112544528,0.0024654990487600024,1.70927479797465e-05,0
R_ADSL1r,1,6,5.390241456018159e-06,0.8281917047143816,4.464153260281809e-06,0
R_G3PD2,55,147,0.002377788256313289,0.005062164242867474,1.2036754688219332e-05,0
R_IMPC,56,0,0.0,0.05535261287273836,0.0,0
R_ADSS,7,134,0.0013247398543013039,0.008627251772974366,1.1428864256750726e-05,1
R_IMPD,85,129,0.000611632569028149,0.006802373191651653,4.1605529906981105e-06,0
R_G3PD5,7,4,0.00012770104952104878,0.4024909923868033,5.1398522150563236e-05,0
R_ACTD,36,127,0.0002795333933057135,0.015972722313053606,4.464909268497759e-06,0
R_ACTDa,52,145,0.0012635265238289321,0.006589476803953763,8.32597871995108e-06,0
R_GK2,4,3,1.4185023742103309e-05,0.8243746341983621,1.1693773758491496e-05,0
R_G3PD6,7,5,0.00021608593090436916,0.3109580028094593,6.719364950924545e-05,0
R_GMPS2,62,142,0.0011371944328089432,0.004497812787744837,5.114887662040301e-06,0
R_G3PD4,5,3,6.825522860057917e-05,0.5780922481905233,3.9457818552466916e-05,0
R_DGK1,3,4,1.2999259141893405e-05,1.2532586920803854,1.629143451018332e-05,0
R_ADA,345,5,0.0011493200189687182,0.0013917556605227807,1.5995726421518632e-06,0
R_NDPK4,5,5,0.00018128493461808717,0.23013971086857282,4.172086243783471e-05,0
R_OCOAT1,5,5,5.627548099997558e-05,0.6186666174008187,3.4815761472858934e-05,0
R_DAGK160,7,123,0.002635347558291617,0.005649855650848819,1.4889333294164529e-05,0
R_MMSAD3,58,52,0.001116043440478147,0.019689011491148656,2.1973792124195316e-05,0
R_NTD11,56,12,0.00010240666078276482,0.037952863659230084,3.886626034485298e-06,0
R_BPNT,55,14,6.883519412748756e-05,0.049664763744394325,3.4186836536411894e-06,0
R_NTD7,104,13,0.002833846026645516,0.0028500349832670047,8.076560313131921e-06,0
R_NDPK8,5,5,8.69318101865776e-05,0.2751937738191453,2.3923092910173906e-05,0
R_DURIPP,116,3,0.0010088800095538121,0.004436737445578263,4.476135716482754e-06,0
R_TMDPP,116,1,0.0008334503728176816,0.004799130474767517,3.999837083395685e-06,0
R_NDPK1,7,13,0.0003043749411979027,0.16936989806117078,5.155195276306363e-05,0
R_NDPK5,4,6,5.886634694502306e-06,0.4441385709408421,2.6144815208670348e-06,0
R_NDPK9,3,5,5.138311002032462e-05,2.1775075599867755,0.0001118871105248891,0
R_CSND,343,7,0.0008332602813358028,0.0013366046953208711,1.113739604457824e-06,0
R_GPDDA2,54,129,0.001366237690291235,0.005463373466392814,7.464266745922936e-06,0
R_GPDDA1,54,128,0.0005947538870420465,0.006179909452966769,3.6755251687198734e-06,0
R_MCSNAH,343,5,0.00031079793430422624,0.0014179922521395912,4.4070906282438246e-07,0
R_NDPK10,2,4,1.1257349176154603e-06,11.86098069579676,1.3352320126421332e-05,0
R_CYTD,344,5,0.00032452334240549855,0.0014046871205854496,4.5585375940634566e-07,0
R_DASYN160,298,5,0.0026402953313760195,0.0015163108339937795,4.003508415908654e-06,0
R_ASNS1,63,141,0.0004793668938036351,0.005455800578742687,2.6153301766439563e-06,0
R_NDPK2,9,9,0.00031759683019941037,0.13340393418052857,4.236866663186665e-05,0
R_NDPK3,3,9,7.060454821138433e-05,0.32616244419043733,2.3028552015586684e-05,0
R_HXPRT,2,6,0.00019510012468348218,1.8991418919034686,0.00037052281990199095,0
R_NDPK6,4,4,3.1327481244375994e-06,0.7742609051577216,2.4255643984582105e-06,0
R_PSSA160,4,123,0.0011933515831713724,0.015361556521736859,1.83317377951912e-05,1
R_NTPP8,56,124,0.00030883960407697105,0.00830176812973734,2.5639147823268965e-06,0
R_RNDR4,8,208,0.0029423523092425474,0.002097469466570574,6.171494128529663e-06,0
R_PSD160,296,10,0.0034032949549185616,0.0013436820324928022,4.572946282197473e-06,2
R_GLUTRS,44,5,0.00022236606812121369,0.024375806593817034,5.420352269550248e-06,0
R_XPPT,5,4,5.086307550949159e-05,1.9657182596742622,9.998247627219839e-05,0
R_NTD2,59,12,0.00026934779454584553,0.025646305951125742,6.907775946183712e-06,0
R_PGSA160,6,123,0.0005438846790671598,0.014257287523149292,7.754320248896275e-06,0
R_NTD4,62,13,0.0010974000326752433,0.010674973698146666,1.1714716485153515e-05,0
R_NTD3,54,12,3.9388205889278624e-05,0.05896616877906867,2.32257159637191e-06,0
R_ADPT,5,4,0.0019955930427590332,1.2361257987991172,0.002466804044058471,0
R_NTPTP1,55,0,0.0,0.06224898076323678,0.0,0
R_OMCDC,296,7,0.00012868672380456314,0.0017652566039535376,2.2716508903714998e-07,0
R_GTPDPK,3,122,4.995139626381383e-05,0.01895462761387604,9.468101149737501e-07,0
R_PPGPPDP,54,4,0.0004123266643009612,0.06733481222131998,2.7763938514548464e-05,0
R_DADK,2,4,1.407442286408161e-07,1.5374875864109907,2.1639250439424497e-07,0
R_NTD5,55,12,0.00016382413150687404,0.03523298267481482,5.772012787098278e-06,0
R_URIDK2r,3,4,1.3867710570775085e-05,1.0280634557426802,1.425688645263033e-05,0
R_CYTK1,10,5,0.0008567372085705967,0.06140395112849053,5.2607049685028315e-05,0
R_ADK1,52,3,0.0026754429630175603,0.006617572526577398,1.770493784848984e-05,0
