node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_3HAD160,1,598,9.632315118475797e-05,0.0009532846920596118,9.182338551537343e-08,0
R_13DAMPPabcpp,178,309,0.0002917521837199568,0.0013408309139378294,3.911903471405871e-07,0
R_13DAMPPtex,0,1,0.0,487.0,0.0,0
R_15DAPabcpp,178,310,0.00030173706236258753,0.0013380833096059894,4.0374932703691994e-07,0
R_1P2CBXLCYCL,1,868,4.451971090777822e-05,0.0005689062856865639,2.5327543372383712e-08,0
R_1P2CBXLR,890,34,0.00022208065326351592,0.00047994453323329215,1.0658639547070275e-07,0
R_1PPDCRc,891,33,0.0002194506385375714,0.0004916957005214358,1.0790293544560756e-07,0
R_1PQQS,4,1,7.0105333263228e-07,11.299990294489389,7.921895854664205e-06,0
R_1PY4h3cAH,1041,11,9.000050965480765e-05,0.00039671692442024643,3.5704725386509984e-08,0
R_23CTI1,1,0,0.0,122.99999999999999,0.0,0
R_23CTI2,1,0,0.0,122.99999999999999,0.0,0
R_23CTI3,1,0,0.0,122.99999999999999,0.0,0
R_24DECOAR,893,32,8.581801374750698e-05,0.0004780250868767901,4.102316347724559e-08,0
R_25DKGLCNt2rpp,46,297,0.0002795616380387202,0.0019850593100366643,5.549464323178617e-07,0
R_25DKGLCNtex,0,1,0.0,343.0,0.0,0
R_26DAHtex,0,1,0.0,487.0,0.0,0
R_2AACLPGT160,2,6,0.0005237354491296995,0.3598560153357737,0.00018846935181390546,0
R_2AACLPGT161,2,6,0.000524018398573339,0.3571465267384191,0.00018715135099749657,0
R_2AACLPGT180,2,5,0.0005237076663536678,0.41204528432822224,0.0002157912742875668,0
R_2AACLPGT181,2,6,0.0005262709254643712,0.3571217866246078,0.00018794281315042205,0
R_2AACLPPEAT160,2,6,0.0005236185224026116,0.3598521616717805,0.00018842525717796343,0
R_2AACLPPEAT161,2,7,0.0005239089071740113,0.21505353726590704,0.00011266846369288686,0
R_2AACLPPEAT180,2,5,0.0005235903269306171,0.41204034457608546,0.00021574033872519673,0
R_2AACLPPEAT181,2,7,0.0005240882279995353,0.20201109687364316,0.00010587163779675011,0
R_2AGPE160tipp,2,1,0.0002619843824507427,0.5293569431500466,0.00013868325184717786,0
R_2AGPE161tipp,2,1,0.00026198495769519744,0.5412960609911054,0.00014181142563933177,0
R_2AGPE180tipp,2,1,0.0002619843824507425,0.5147591921284308,0.00013485886906061006,0
R_2AGPE181tipp,2,1,0.00026198554342767103,0.5412960609911055,0.00014181174269401253,0
R_2AGPG160tipp,2,1,0.000262043932472154,0.8779989790709546,0.00023007430518228939,0
R_2AGPG161tipp,2,1,0.0002620444942136058,0.8779989790709546,0.00023007479839071057,0
R_2AGPG180tipp,2,1,0.00026204393247215374,0.8385569020754979,0.00021973874822153023,0
R_2AGPG181tipp,2,1,0.00026208409698600196,0.8779989790709546,0.00023010956958444278,0
R_2DHGLCK,886,4,9.943259656786964e-05,0.0005146169904513316,5.116970359851848e-08,0
R_2DHGLCNkt_tpp,47,297,0.0003044955580929133,0.0018639165333667396,5.675543050661137e-07,0
R_2DHGLCNtex,0,1,0.0,344.0,0.0,0
R_2PQQS,1,598,0.0005225184172552586,0.0006816575815074007,3.5617864059929444e-07,0
R_34DHCINMtex,0,1,0.0,2.0,0.0,1
R_34DHCINMtpp,1,1,0.00026160973529394557,0.49549549549549554,0.000129626445415919,0
R_34DHPHEtex,0,1,0.0,343.0,0.0,0
R_34DHPHEtpp,46,297,0.0002795616380387202,0.001985059310036664,5.549464323178616e-07,0
R_34HPPOR,6,6,2.527447367387607e-06,1.1527690076719153,2.9135629936464063e-06,0
R_3AIBT2,18,13,3.667663830511227e-05,0.08527331379257636,3.1275384870486642e-06,0
R_3HAACOAT100,98,5,4.795215545110784e-05,0.03062968533125925,1.468759432423061e-06,0
R_3HAACOAT120,98,5,4.794381060357956e-05,0.030629685331259243,1.4685038323691322e-06,0
R_3HAACOAT121,98,5,4.8105029849351426e-05,0.030629572515966142,1.4734365001534254e-06,0
R_3HAACOAT140,98,5,4.807520118765329e-05,0.030629572515966142,1.4725228609968881e-06,0
R_3HAACOAT141,98,5,4.807520118765329e-05,0.030629572515966146,1.4725228609968883e-06,0
R_3HAACOAT60,98,5,4.807520118765329e-05,0.030629572515966142,1.4725228609968881e-06,0
R_3HAACOAT80,98,5,4.807520118765329e-05,0.030629572515966146,1.4725228609968883e-06,0
R_3HAD100,1,599,0.0003804322219401188,0.0007403251078657233,2.8164352574341525e-07,1
R_3HAD120,1,598,9.550073914454459e-05,0.0009532872204921574,9.103963417404949e-08,0
R_3HAD121,1,599,9.641114677044479e-05,0.0009511654146683695,9.170294839656315e-08,0
R_3HAD140,1,598,9.594784286251867e-05,0.0009532840674879474,9.146554991067622e-08,0
R_3HAD141,1,598,9.594784286251867e-05,0.0009532840674879474,9.146554991067622e-08,0
R_ACOAD31f,10,7,6.073034473082037e-06,1.6144703166857,9.80473388899993e-06,0
R_ACOAD32f,9,7,2.1487834118910174e-06,1.8787468996772343,4.037020173168118e-06,0
R_ACOAD33f,9,7,2.1487834118910174e-06,1.8787468996772343,4.037020173168118e-06,0
R_ACOAD34f,9,8,2.217904885771738e-06,1.7125783017894438,3.7983357828054734e-06,0
R_ACOAD3f,11,7,8.05433909187022e-06,1.2507497122511555,1.007396230152991e-05,0
R_ACOAD4f,12,7,1.2667103259636787e-05,0.9851154503883696,1.2478559132733077e-05,0
R_ACOAD5f,11,7,8.054339091870213e-06,1.2507497122511555,1.0073962301529902e-05,0
R_ACOAD6f,11,7,8.054339091870215e-06,1.2507497122511555,1.0073962301529905e-05,0
R_ACOAD7f,11,7,8.05433909187022e-06,1.2507497122511555,1.007396230152991e-05,0
R_ACOAD8f,10,7,6.073034473082037e-06,1.6144703166857,9.80473388899993e-06,0
R_ACOADH1,9,8,3.5436509083727236e-06,1.6356642021679413,5.796222935805171e-06,0
R_ACOADH2,4,597,1.9222493661703695e-05,0.0009407747387431979,1.808403645258207e-08,0
R_ACOATA,111,137,0.002645126362446987,0.0007963034122169293,2.10632314816149e-06,0
R_ACODA,176,7,5.339324062541521e-05,0.014165476656248361,7.563407036807708e-07,0
R_ACONCt4pp,6,7,0.0002658311409626546,0.07221286246987126,1.9196427622545135e-05,0
R_ACONCtex,0,1,0.0,13.0,0.0,0
R_ACONIs,0,1,0.0,180.0,0.0,0
R_ACONMT,1,1,2.0130360488024473e-08,54.23340961098398,1.0917380859637986e-06,0
R_ACONTa,8,597,0.0004974651329681254,0.00079260748414985,3.942945874941365e-07,0
R_ACONTb,178,2,0.0005162884045871557,0.003944363783794378,2.0364292850465562e-06,0
R_ACOTA,12,24,8.109738862916564e-06,0.14785870027633266,1.199095447851307e-06,0
R_ACPPAT120,953,3,0.0002698856754394784,0.0003682970433074901,9.93980962954048e-08,0
R_ACPPAT140,953,3,0.0002699306777479373,0.0003682964435858052,9.941450862927135e-08,0
R_ACPPAT141,953,3,0.00026992921417104247,0.00036829644358580513,9.941396959910606e-08,0
R_ACPPAT160,953,3,0.0002699055060782871,0.00036829674409126554,9.940531910093842e-08,0
R_ACPPAT161,953,3,0.00026990407834385425,0.0003682967440912655,9.940479327099537e-08,0
R_ACPPAT180,953,3,0.0002699445589404755,0.00036829644358580513,9.941962102311587e-08,0
R_ACPPAT181,953,3,0.0002699445589404755,0.00036829644358580513,9.941962102311587e-08,0
R_ACPS1,97,300,0.0003842388069997686,0.0040923568927859555,1.5724423303013555e-06,0
R_ACS,115,33,0.000289458950573091,0.009780827941087753,2.8311481915632272e-06,0
R_ACS2,103,13,4.056314098791854e-05,0.018231171241636444,7.39513569449385e-07,0
R_ACSERtex,0,0,0.0,0.0,0.0,0
R_ACSERtpp,2,0,0.0,47.25,0.0,0
R_ACSPHAC100,101,12,0.00031602352266927133,0.006488574706471015,2.0505422358417035e-06,0
R_ACSPHAC101,101,12,0.00034058657063489495,0.006488574706471012,2.209921407585282e-06,0
R_ACSPHAC120,101,12,0.00031602352266927133,0.006488574706471012,2.0505422358417027e-06,0
R_ACSPHAC121,101,12,0.00031601377909888385,0.006488574706471015,2.0504790139573362e-06,0
R_ACSPHAC121d6,101,12,0.00034058657063489495,0.006488561469210889,2.2099168991522523e-06,0
R_ACSPHAC140,101,12,0.0003160235226692713,0.006488574706471012,2.0505422358417022e-06,0
R_ACSPHAC141,101,12,0.0003160235226692713,0.006488574706471012,2.0505422358417022e-06,0
R_ACSPHAC141d5,101,12,0.0003405865706348949,0.0064885614692108875,2.2099168991522514e-06,0
R_ACSPHAC142,101,12,0.0003405865706348949,0.006488561469210893,2.209916899152253e-06,0
R_ACSPHAC160,100,11,0.0005606400577173211,0.006615159514459714,3.70872341199598e-06,1
R_ACSPHAC40,102,12,0.000376322892304491,0.010120210253363227,3.808466793275215e-06,0
