node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_EX_cm_e,1,0,0.0,389.0,0.0,0
R_EX_cmp_e,0,0,0.0,0.0,0.0,0
R_EX_co2_e,0,0,0.0,0.0,0.0,0
R_EX_cobalt2_e,0,0,0.0,0.0,0.0,0
R_DM_4crsol_c,1,0,0.0,331.0,0.0,0
R_DM_5drib_c,1,0,0.0,121.0,0.0,0
R_DM_aacald_c,1,0,0.0,306.0,0.0,0
R_DM_amob_c,1,0,0.0,4.0,0.0,0
R_DM_mththf_c,1,0,0.0,116.0,0.0,0
R_EX_colipa_e,1,0,0.0,430.0,0.0,0
R_DM_oxam_c,1,0,0.0,277.0,0.0,0
R_EX_glc__D_e,0,0,0.0,0.0,0.0,0
R_EX_glcn_e,0,0,0.0,0.0,0.0,0
R_BIOMASS_Ec_iJO1366_WT_53p95M,683,312,0.01324117423418273,0.0001079746456356573,1.4297110957358763e-06,0
R_EX_glcr_e,0,0,0.0,0.0,0.0,0
R_EX_colipap_e,1,0,0.0,428.00000000000006,0.0,0
R_EX_glcur_e,0,0,0.0,0.0,0.0,0
R_EX_glcur1p_e,0,0,0.0,0.0,0.0,0
R_BIOMASS_Ec_iJO1366_core_53p95M,527,312,0.007517363613491031,0.00018523269416463912,1.3924615151421705e-06,0
R_EX_12ppd__R_e,0,0,0.0,0.0,0.0,0
R_EX_gln__L_e,0,0,0.0,0.0,0.0,0
R_EX_cpgn_e,1,0,0.0,3.0,0.0,0
R_EX_glu__L_e,0,0,0.0,0.0,0.0,0
R_EX_gly_e,0,0,0.0,0.0,0.0,0
R_EX_glyald_e,0,0,0.0,0.0,0.0,0
R_EX_glyb_e,0,0,0.0,0.0,0.0,0
R_EX_glyc_e,0,0,0.0,0.0,0.0,0
R_EX_12ppd__S_e,0,0,0.0,0.0,0.0,0
R_EX_14glucan_e,0,0,0.0,0.0,0.0,0
R_EX_cpgn_un_e,1,0,0.0,389.0,0.0,0
R_EX_15dap_e,0,0,0.0,0.0,0.0,0
R_EX_glyc__R_e,0,0,0.0,0.0,0.0,0
R_EX_glyc2p_e,0,0,0.0,0.0,0.0,0
R_EX_23camp_e,0,0,0.0,0.0,0.0,0
R_EX_23ccmp_e,0,0,0.0,0.0,0.0,0
R_EX_23cgmp_e,0,0,0.0,0.0,0.0,0
R_EX_23cump_e,0,0,0.0,0.0,0.0,0
R_EX_23dappa_e,0,0,0.0,0.0,0.0,0
R_EX_26dap__M_e,0,0,0.0,0.0,0.0,0
R_EX_glyc3p_e,0,0,0.0,0.0,0.0,0
R_EX_glyclt_e,0,0,0.0,0.0,0.0,0
R_EX_gmp_e,0,0,0.0,0.0,0.0,0
R_EX_gsn_e,0,0,0.0,0.0,0.0,0
