node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_ACALDt,0,1,0.0,164.0,0.0,0
R_ACMANApts,1,11,2.610190878692064e-06,0.14674502733765604,3.830325318501674e-07,1
R_ACTNdiff,0,1,0.0,130.0,0.0,0
R_ACt2r,8,106,6.276886113990127e-05,0.020286186706313998,1.2733408364267344e-06,0
R_ADEt2,8,106,0.0001350788196059925,0.01875295487208894,2.53312700824622e-06,0
R_ADPTA,250,12,0.0027582613229600113,0.001936563889399837,5.34154927557258e-06,0
R_AKGt2r,8,117,0.0013293309083754741,0.008774818847750769,1.1664637909710761e-05,0
R_ALAt2r_copy2,8,109,0.0007118962623585412,0.012652368623579546,9.00717393310876e-06,0
R_ALOX,251,111,0.011024781787109509,0.0009096531182559072,1.0028727130735099e-05,0
R_AMALT1,1,3,6.56702042647622e-07,0.82210357661264,5.398770980294365e-07,0
R_AMALT2,2,3,4.188673447807125e-06,0.36094702284310837,1.5118892106479598e-06,0
R_AMALT3,2,3,4.188673447807125e-06,0.36094702284310837,1.5118892106479598e-06,0
R_AMALT4,2,2,6.56702042647622e-07,0.82210357661264,5.398770980294365e-07,0
R_ACGAMT,3,1,4.384193293449884e-06,3.7993664880425757,1.66571570762345e-05,0
R_ARGt2r,8,107,6.882618129039922e-05,0.02221851833918404,1.5292157712167405e-06,0
R_ACGK,6,6,0.00011141395272298515,1.618581434402248,0.00018033255541079356,0
R_ASNt2r,8,107,6.882618129039922e-05,0.02166095528092635,1.4908408350882674e-06,0
R_ACHBS,270,5,0.00016507275161540207,0.0011110930624286626,1.8341118911588305e-07,0
R_BIOMASS_LLA,109,131,0.010746800198086638,0.0015593578228060283,1.6758106959019774e-05,0
R_ACOATA,5,13,2.4894602174857083e-05,0.3840358746967463,9.560420321448763e-06,0
R_BIOMASS_LLA_noATPnoH,105,0,0.0,0.004344620018151317,0.0,0
R_ASPt2r,8,113,0.0002792814230330849,0.015365860964451363,4.2913995162805064e-06,0
R_ACLS,267,6,0.00016407234314457295,0.001165790422328405,1.912739662069227e-07,0
R_2H3MBt,248,56,0.01027086502107401,0.0011029898323811245,1.1328659688003577e-05,1
R_2H3MPt,248,56,0.010270849359091436,0.001102989832381124,1.1328642412996038e-05,1
R_ACLDC,248,5,0.00014551471312832212,0.0021279787631874555,3.0965221926838427e-07,0
R_2HXICt_copy1,248,56,0.00964925674662927,0.0013251585695068587,1.278679526716765e-05,0
R_2MBALDH,65,105,0.0013518927695585468,0.008711425298896763,1.1776912874127937e-05,0
R_ATPM,49,131,0.0005356322064035169,0.006079525682715462,3.25638975531973e-06,0
R_ACODA_1,45,5,0.002692816564053795,0.0338379253076361,9.111932576161761e-05,0
R_ACONT,2,1,1.0719535792035159e-06,11.81962986682431,1.2670094540603094e-05,0
R_BTDt_RR,0,1,0.0,1.0,0.0,1
R_2MBALDt,1,1,0.0011037410641123449,0.498046875,0.0005497147877903281,1
R_2MBAt6,248,56,0.0104736844587052,0.0011028266520871903,1.1550658366611492e-05,1
R_2MPAt6,248,56,0.0104736844587052,0.0011028266520871903,1.1550658366611492e-05,1
R_ACKILE,107,143,0.012124255331952117,0.0015095133348198354,1.8301725098342212e-05,0
R_2HXICt_copy2,248,56,0.00964925674662927,0.0013251585695068587,1.278679526716765e-05,0
R_3MBALt,0,1,0.0,1.0,0.0,1
R_3MBAt6,248,56,0.0104736844587052,0.0011028266520871901,1.1550658366611489e-05,1
R_3MOPDC,249,6,0.002332299481652028,0.0016360179451288689,3.815683805397477e-06,2
R_BZALt,1,1,0.0011037410641123449,0.4956896551724138,0.0005471130274694813,1
R_CBMKr_copy1,60,112,0.01052194071157099,0.0046052248902969176,4.8455903259155185e-05,0
R_ACKLEU,107,143,0.01212425533195212,0.0015095133348198354,1.8301725098342216e-05,0
R_2S6HCCi,251,15,0.003635098835022105,0.0015255518960945267,5.545531920258977e-06,1
R_ACKVAL,107,143,0.01212425533195212,0.0015095133348198354,1.8301725098342216e-05,0
R_AALDH,254,26,0.0031920313231285384,0.0014492951304838858,4.626195452962226e-06,2
R_ACKr,12,6,0.0020718714807383036,0.5523187485093625,0.0011443334633136197,0
R_ACOTA,6,13,9.276118201898024e-05,0.3019928597980437,2.801321463615871e-05,0
R_CH4St,0,0,0.0,0.0,0.0,0
R_ACTD,24,106,0.0022865293218696688,0.004460886504456501,1.019994779397248e-05,0
R_CITt2r,9,107,0.0003590333452829346,0.01199427347089859,4.306344128495076e-06,0
R_AB6PGH,45,3,0.0007542548804209309,0.03706949802453459,2.7959849799759273e-05,0
R_ACACT1r,5,13,2.4894602174857083e-05,0.3840358746967463,9.560420321448763e-06,0
R_CITt3,10,107,0.001157629125828965,0.006142932160927432,7.111237187481058e-06,1
R_ACPS2,22,106,0.001879155036961531,0.007954461427303588,1.4947666257433746e-05,0
R_ACPSc,45,106,0.0003578056116669911,0.009786066784612866,3.5015096116824312e-06,0
R_ADADir,5,112,1.655016400251984e-05,0.017349635229088833,2.8713930842531604e-07,0
R_CO2t,0,4,0.0,10.438981944746574,0.0,0
R_ADA,289,7,0.000912904954343773,0.0015544973796146272,1.419108359364606e-06,0
R_CPSS_LLA,48,111,0.0018654697330638041,0.0057865025892440275,1.0794545440530067e-05,0
R_ADK2,33,8,0.0009998502667437534,0.037791017919094866,3.778535934692497e-05,0
R_CYSt2r,8,110,0.0008430934997505574,0.01993459830485836,1.680673025096456e-05,0
R_ADK1,38,6,0.0009406160079036147,0.03624533757905361,3.409294473872828e-05,0
R_ADCL,1,112,0.0023153136573942083,0.007485068013758666,1.733028019877998e-05,2
R_ADCS,3,13,0.003342153697917765,0.31625624817933073,0.0010569769893421486,3
R_ADPDS,289,2,0.0014288448735620997,0.0013476250428393617,1.925547133944927e-06,1
R_ADPT,7,4,0.002770429256313702,0.608343181355536,0.0016853717475063291,0
R_ADPRDP,46,112,0.0033338942945549776,0.0058992402198161315,1.9667443311054254e-05,0
R_ADSL1r,1,3,3.973467830804441e-06,4.310045598154224,1.7125827533566093e-05,0
R_CSND,289,9,0.0027161371034987243,0.0014768468105197904,4.011318418236553e-06,0
R_DAPE,1,2,0.00026827990710368677,22.800112657922263,0.006116812105820978,0
R_ADSL2r,1,2,5.16608501875627e-06,2.7381458862279557,1.4145494442011352e-05,0
R_DADA,289,8,0.0011919153613900008,0.0014917456118337964,1.7780345100308273e-06,0
R_ADSS,6,130,0.0023670734662572376,0.006386701966826243,1.5117792762567312e-05,1
R_DHAt,0,1,0.0,16.0,0.0,0
R_DIACTt,2,1,0.0011037410641123449,0.3298844773441005,0.0003641070440579222,1
R_DNAS_LLA,53,135,0.0016401766447931916,0.004347909510909579,7.1313396334680805e-06,0
R_DRIBt2,8,106,7.342367775218508e-05,0.02276055885540318,1.6711639388587654e-06,0
R_AGAT_LLA,8,3,0.0018077075411510183,0.08706525508406229,0.00015738851818769645,0
R_CYTDK1,7,111,0.0004623637657895712,0.01665116689324657,7.69889622955212e-06,0
R_AEPabc,49,131,0.0005356322064035169,0.006079525682715462,3.25638975531973e-06,0
