node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_EX_hxan_e,0,0,0.0,0.0,0.0,0
R_EX_alltn_e,0,0,0.0,0.0,0.0,0
R_EX_orn_e,0,0,0.0,0.0,0.0,0
R_EX_gln__L_e,0,0,0.0,0.0,0.0,0
R_EX_urate_e,0,0,0.0,0.0,0.0,0
R_EX_so3_e,0,0,0.0,0.0,0.0,0
R_EX_s_e,0,0,0.0,0.0,0.0,0
R_EX_no3_e,0,0,0.0,0.0,0.0,0
R_EX_so4_e,0,0,0.0,0.0,0.0,0
R_EX_fe2_e,0,0,0.0,0.0,0.0,0
R_EX_fe3_e,0,0,0.0,0.0,0.0,0
R_PRISM_solar_litho,0,18,0.0,0.04596495550490769,0.0,0
R_PRISM_solar_exo,0,18,0.0,0.04596495550490769,0.0,0
R_PRISM_incandescent_60W,0,18,0.0,0.04596495550490769,0.0,0
R_EX_slnt_e,0,0,0.0,0.0,0.0,0
R_EX_leu__L_e,0,0,0.0,0.0,0.0,0
R_PRISM_fluorescent_warm_18W,0,18,0.0,0.04596495550490769,0.0,0
R_PRISM_fluorescent_cool_215W,0,18,0.0,0.04596495550490769,0.0,0
R_PRISM_metal_halide,0,16,0.0,0.06471365212947139,0.0,0
R_EX_etoh_e,0,0,0.0,0.0,0.0,0
R_EX_arg__L_e,0,0,0.0,0.0,0.0,0
R_EX_for_e,0,0,0.0,0.0,0.0,0
R_EX_h2_e,1,0,0.0,2.0,0.0,0
R_PRISM_high_pressure_sodium,0,16,0.0,0.06471365212947139,0.0,0
R_PRISM_growth_room,0,18,0.0,0.04596495550490769,0.0,0
R_PRISM_white_LED,0,18,0.0,0.04596495550490769,0.0,0
R_EX_glyclt_e,0,0,0.0,0.0,0.0,0
R_CMPth,18,0,0.0,0.17734907327473237,0.0,0
R_EX_succ_e,0,0,0.0,0.0,0.0,0
R_EX_lac__D_e,0,0,0.0,0.0,0.0,0
R_EX_6mpur_e,0,0,0.0,0.0,0.0,0
R_PRISM_red_LED_array_653nm,0,7,0.0,0.42591536068095376,0.0,0
R_PRISM_red_LED_674nm,0,7,0.0,0.42591536068095376,0.0,0
R_PRISM_design_growth,0,7,0.0,0.42591536068095376,0.0,0
R_EX_h_e,4,0,0.0,0.9661016949152543,0.0,0
R_EX_h2o_e,1,0,0.0,9.0,0.0,0
R_EX_pi_e,0,0,0.0,0.0,0.0,0
R_EX_nh4_e,0,0,0.0,0.0,0.0,0
R_EX_mg2_e,1,0,0.0,1.0,0.0,0
R_EX_tgua_e,0,0,0.0,0.0,0.0,0
R_EX_tega_e,0,0,0.0,0.0,0.0,0
R_EX_5flura_e,0,0,0.0,0.0,0.0,0
R_EX_cital_e,0,0,0.0,0.0,0.0,0
R_EX_lido_e,0,0,0.0,0.0,0.0,0
R_PS_asn__L_c,1,302,0.00040731805147093693,0.0019147027912639074,7.798930100835788e-07,0
R_CY_focytc_h,1,1,0.0,127.5,0.0,0
R_CY_focytb5_c,1,1,0.0,340.5,0.0,0
R_BIOMASS_Chlamy_auto,370,170,0.027460986058335,0.00017391926301097688,4.775994456820334e-06,0
R_EX_na1_e,0,0,0.0,0.0,0.0,0
R_EX_photonVis_e,0,0,0.0,0.0,0.0,0
R_EX_o2_e,0,0,0.0,0.0,0.0,0
R_BIOMASS_Chlamy_mixo,370,170,0.027460986058335,0.00017391926301097688,4.775994456820334e-06,0
R_CO2th,26,3,0.00025790238945804455,0.06239661115629139,1.609223511129203e-05,0
R_BIOMASS_Chlamy_hetero,369,170,0.02729975819135436,0.00017432026594759736,4.758901108221992e-06,0
R_EX_co2_e,0,0,0.0,0.0,0.0,0
R_COAth,93,11,0.0027043012825234075,0.003046629909370022,8.239005171283524e-06,0
R_CTPth,3,3,2.8026337102311244e-05,0.6844909905549862,1.9183775244788984e-05,0
R_ATPM,90,170,7.948107199965145e-05,0.006203319777877804,4.930465059023676e-07,0
R_DM_apotfen_h,1,0,0.0,5.0,0.0,0
R_DM_asnglcnacglcnacman_man_man_c,1,0,0.0,95.0,0.0,0
R_CYSth,0,5,0.0,2.507185935213148,0.0,0
R_DM_bhb_m,0,0,0.0,0.0,0.0,0
R_DM_bhb_x,0,0,0.0,0.0,0.0,0
R_DM_cat_c,1,0,0.0,679.0,0.0,0
R_DHAP_pi_thr,50,14,0.0022434073079977655,0.014804546550967409,3.32126279240334e-05,0
R_DM_ficytb5_c,1,0,0.0,681.0,0.0,0
R_DM_glu5sa_m,2,0,0.0,7.797169811320755,0.0,0
R_DMPPth,2,1,0.00021041320644865776,0.6617826617826618,0.00013924781183781746,0
R_DM_hcarn_c,1,0,0.0,305.0,0.0,0
R_DM_icit_h,0,0,0.0,0.0,0.0,0
R_DM_leutrna_c,1,0,0.0,11.0,0.0,0
R_ETOHth,3,0,0.0,1.3069173186244158,0.0,0
R_EX_hco3_e,0,0,0.0,0.0,0.0,0
R_F6P_pi_thi,137,19,0.00743044675579386,0.003508088716537112,2.606666642283023e-05,0
R_SK_starch300_h,1,0,0.0,209.0,0.0,0
R_F6PBth,6,3,0.0003609547084783481,0.1897012029662777,6.847354241468472e-05,0
R_FA160h,1,1,6.70013209491498e-05,39.584070796460175,0.0026521850319074962,0
R_EX_ac_e,0,0,0.0,0.0,0.0,0
R_EX_rib__D_e,0,0,0.0,0.0,0.0,0
R_FA1619Zh,1,0,0.0,209.0,0.0,0
R_EX_no2_e,1,0,0.0,2.0,0.0,0
R_FA180h,1,1,3.740740471646837e-05,38.18181818181818,0.0014282827255378831,0
R_EX_his__L_e,0,0,0.0,0.0,0.0,0
R_DM_na1_c,6,0,0.0,1.465250187246839,0.0,0
R_FA18111Zh,1,1,5.563401202106591e-05,39.445103857566764,0.0021944893821840626,0
R_DM_na1_h,8,0,0.0,0.2481402034626101,0.0,0
R_FA1819Zh,1,1,7.020589515982866e-06,41.086956521739125,0.00028845465620016555,0
R_DM_na1_m,15,0,0.0,0.06497515698649022,0.0,0
R_DM_na1_x,1,0,0.0,10.0,0.0,0
R_FADH2th,3,0,0.0,1.3549468977082169,0.0,0
R_DM_no_h,1,0,0.0,255.0,0.0,0
R_DM_o2D_u,2,0,0.0,6.8545454545454545,0.0,0
R_FADth,2,1,0.00022224267527933724,1.4638971315529177,0.00032534041485006833,0
R_DM_photon298_c,7,0,0.0,0.3673469387755101,0.0,0
R_DM_photon437_u,9,0,0.0,0.21621621621621617,0.0,0
R_FE2th,1,3,8.11443812273423e-05,0.6241184524487359,5.0643705636519135e-05,0
R_DM_photon438_u,9,0,0.0,0.21621621621621617,0.0,0
R_DM_photon450_h,9,0,0.0,0.21621621621621617,0.0,0
R_FE3abch,92,171,0.0009116492715877874,0.0018417802426108146,1.6790576166009275e-06,0
R_DM_photon490_s,9,0,0.0,0.21621621621621617,0.0,0
R_DM_photon646_h,12,0,0.0,0.08842105263157894,0.0,0
R_FORthi,151,163,0.02701953626469051,0.0021319563384050526,5.760447160027211e-05,0
R_DM_photon673_u,12,0,0.0,0.08842105263157894,0.0,0
R_DM_photon680_u,12,0,0.0,0.08842105263157894,0.0,0
R_EX_urea_e,0,0,0.0,0.0,0.0,0
R_DM_udg_m,1,0,0.0,104.0,0.0,0
R_DM_urdglyc_m,2,0,0.0,25.25,0.0,0
R_1ACPCth,1,1,9.000715183969602e-07,33.392857142857146,3.005595963218421e-05,0
R_23DHMBth,0,1,0.0,104.99999999999999,0.0,0
R_FRDPth,1,3,0.00041753831245172054,0.35220994475138123,0.00014706114596020544,0
R_23DHMPth,0,1,0.0,104.99999999999999,0.0,0
R_G1P_pi_th,51,11,0.0008342960785533485,0.018198167469030885,1.5182659756269583e-05,0
R_2PGLYCth,1,0,0.0,102.0,0.0,0
R_2PGth,0,0,0.0,0.0,0.0,0
R_EX_ad_e,0,0,0.0,0.0,0.0,0
R_EX_gua_e,0,0,0.0,0.0,0.0,0
R_3C3HMPth,2,0,0.0,33.55939226519337,0.0,0
R_EX_ade_e,0,0,0.0,0.0,0.0,0
R_G3P_pi_thr,50,12,0.000842835304626296,0.02165107052466192,1.8248286621138846e-05,0
R_3MOBth,3,1,9.50237050953645e-06,0.45985030977336994,4.3696680223916715e-06,0
R_G6PA_pi_th,53,12,0.0017147975179587272,0.012865775042325205,2.20621991091946e-05,0
R_3PG_pi_thr,54,10,0.001106038961133303,0.00927568393499286,1.0259267823260373e-05,0
R_G6PB_pi_th,52,11,0.001313765510965684,0.016107766240000012,2.116182774480941e-05,0
R_4ABUTth,1,0,0.0,387.0,0.0,0
R_4ABUTthi,361,96,0.006348556809413106,0.0010190227680371363,6.469323932969154e-06,0
