node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_EX_cd2_e,0,0,0.0,0.0,0.0,0
R_3OAR80,659,22,0.0005292213933700439,0.0006358635843525739,3.3651261210433957e-07,1
R_EX_cbi_e,0,0,0.0,0.0,0.0,0
R_EX_cbl1_e,0,0,0.0,0.0,0.0,0
R_2AGPEAT120,10,9,1.1745520164797112e-05,0.1570619448821808,1.8447742407359071e-06,0
R_2AGPEAT140,10,9,1.0914942402276558e-05,0.15708452142087068,1.7145685035979816e-06,0
R_3OAS100,659,15,0.0002598428878668601,0.0005917238951666154,1.5375524573992053e-07,0
R_12DGR120tipp,1,1,2.3000944034026585e-07,3.8577777777777778,8.873253076237812e-07,0
R_2AGPEAT141,10,9,1.17395019163204e-05,0.15705794944534904,1.8437820984870273e-06,0
R_3OAS120,659,15,0.0002594741394699963,0.0005917238951666155,1.5353704850219185e-07,0
R_2AGPEAT160,10,10,2.2305458189462002e-05,0.17415051581587176,3.884507049204169e-06,0
R_2AGPEAT161,10,11,1.801926046771125e-05,0.13928650815095722,2.5098398700100844e-06,0
R_2AGPEAT180,9,9,1.1583394483485424e-05,0.16733901893272715,1.9383538687772144e-06,0
R_12DGR140tipp,1,1,2.3000944034026585e-07,3.8577777777777778,8.873253076237812e-07,0
R_2AGPEAT181,9,11,1.7628932048545583e-05,0.1475957558213443,2.6019555500282047e-06,0
R_3OAS121,657,15,0.0005777799288746628,0.0004952786395380253,2.8616205712542e-07,0
R_2AGPG120tipp,1,3,1.5054955416220532e-06,0.8129776712123483,1.2239342594484698e-06,0
R_2AGPG140tipp,1,3,1.5054955416220532e-06,0.8130050938858432,1.2239755441611557e-06,0
R_12DGR141tipp,1,1,2.3000944034026585e-07,3.8577777777777778,8.873253076237812e-07,0
R_12DGR160tipp,1,1,2.3000944034026585e-07,3.8577777777777778,8.873253076237812e-07,0
R_12DGR161tipp,2,1,0.00032587493904702214,0.7200331812525923,0.00023464076905252196,0
R_2AGPG141tipp,1,3,1.5054955416220532e-06,0.8129776712123483,1.2239342594484698e-06,0
R_12DGR180tipp,1,1,2.3000944034026585e-07,3.8577777777777778,8.873253076237812e-07,0
R_3OAS140,659,15,0.0002576928936921688,0.000591727723539954,1.524840293568904e-07,0
R_12DGR181tipp,2,1,0.00032587493904702214,0.7200331812525922,0.00023464076905252193,0
R_2AGPG160tipp,2,3,0.00032714909005336076,0.3601351827078786,0.00011781789731908331,0
R_3OAS141,658,15,0.00025776770129082457,0.0005926021837106398,1.5275370267501456e-07,0
R_2AGPG161tipp,1,3,1.488177297035147e-06,0.8240742167634957,1.2263685404594549e-06,0
R_2AGPG180tipp,1,3,1.5058940368619331e-06,0.806731436502429,1.214852059578069e-06,0
R_2AGPG181tipp,1,3,1.4885757922750266e-06,0.8187405960879726,1.2187574314893813e-06,0
R_2AGPGAT120,10,11,0.00010720511822312214,0.057022503366906264,6.113104214827567e-06,0
R_2AGPGAT140,10,11,0.00010637454046066035,0.0570257921580557,6.066092435218304e-06,0
R_2AGPGAT141,10,11,0.00010681416243534554,0.05702192128085216,6.090748762068429e-06,0
R_2AGPGAT160,10,12,0.00011837984745336597,0.05774942825772187,6.836368507668217e-06,0
R_2AGPGAT161,10,13,0.0001359940861423888,0.05164434817912865,7.023325935039942e-06,0
R_2AGPGAT180,9,11,0.00010189915431939714,0.06009720432038725,6.123854297207481e-06,0
R_3OAS160,659,15,0.0002566787702678503,0.0005917276413699284,1.5188392332032877e-07,0
R_2AGPGAT181,9,13,0.00012859817856256247,0.05419235050798022,6.9690375673502135e-06,0
R_3OAS161,659,15,0.00025749907441005186,0.0005917257735511704,1.5236883899399833e-07,0
R_3OAS180,659,15,0.00025749907441005186,0.0005917257735511705,1.5236883899399835e-07,0
