node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_EX_etha_e,0,0,0.0,0.0,0.0,0
R_EX_drib_e,0,0,0.0,0.0,0.0,0
R_EX_csn_e,0,0,0.0,0.0,0.0,0
R_EX_5mtr_e,0,0,0.0,0.0,0.0,0
R_EX_dtmp_e,0,0,0.0,0.0,0.0,0
R_EX_6pgc_e,0,0,0.0,0.0,0.0,0
R_EX_ctbt_e,0,0,0.0,0.0,0.0,0
R_EX_cu2_e,1,0,0.0,219.0,0.0,0
R_EX_Larab_e,0,0,0.0,0.0,0.0,0
R_EX_ectoine_e,0,0,0.0,0.0,0.0,0
R_EX_cys__D_e,0,0,0.0,0.0,0.0,0
R_EX_cys__L_e,0,0,0.0,0.0,0.0,0
R_EX_eths_e,0,0,0.0,0.0,0.0,0
R_EX_cyst__L_e,0,0,0.0,0.0,0.0,0
R_EX_Lcyst_e,0,0,0.0,0.0,0.0,0
R_EX_cytd_e,0,0,0.0,0.0,0.0,0
R_EX_abt__L_e,0,0,0.0,0.0,0.0,0
R_EX_etoh_e,1,0,0.0,121.0,0.0,0
R_EX_dad_2_e,0,0,0.0,0.0,0.0,0
R_EX_dcyt_e,0,0,0.0,0.0,0.0,0
R_EX_fe2_e,0,0,0.0,0.0,0.0,0
R_EX_dextrin_e,1,0,0.0,2.0,0.0,0
R_EX_dha_e,0,0,0.0,0.0,0.0,0
R_EX_ac_e,0,0,0.0,0.0,0.0,0
R_EX_acac_e,0,0,0.0,0.0,0.0,0
R_EX_fe3_e,0,0,0.0,0.0,0.0,0
R_EX_ferrich_e,0,0,0.0,0.0,0.0,0
R_EX_diact_e,0,0,0.0,0.0,0.0,0
R_EX_djenk_e,0,0,0.0,0.0,0.0,0
R_EX_ferxa_e,0,0,0.0,0.0,0.0,0
R_EX_fol_e,0,0,0.0,0.0,0.0,0
R_EX_acgam_e,0,0,0.0,0.0,0.0,0
R_EX_acmana_e,0,0,0.0,0.0,0.0,0
R_EX_acnam_e,0,0,0.0,0.0,0.0,0
R_EX_for_e,0,0,0.0,0.0,0.0,0
R_EX_fru_e,0,0,0.0,0.0,0.0,0
R_EX_actn__R_e,1,0,0.0,223.0,0.0,0
R_EX_ade_e,0,0,0.0,0.0,0.0,0
R_EX_adn_e,0,0,0.0,0.0,0.0,0
R_EX_akg_e,0,0,0.0,0.0,0.0,0
R_EX_ala_B_e,0,0,0.0,0.0,0.0,0
R_EX_ala__D_e,1,0,0.0,3.0,0.0,0
R_EX_ala_L_Thr__L_e,0,0,0.0,0.0,0.0,0
R_EX_ala_L_asp__L_e,0,0,0.0,0.0,0.0,0
