node,in_degree,out_degree,betweenness,bridging_coef,bridging_centrality,cascade_number
R_10M3HDHL,1,287,0.00019129500001113475,0.002160880084620233,4.1336555581148835e-07,0
R_10M3OACPO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_10M3OUO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_10MDOD,337,13,0.00012774940648669538,0.0022417789179860746,2.863859262471072e-07,0
R_10MTDAO,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_10MTU2A,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_10MUAM,337,13,0.00012774940648669538,0.002241778917986074,2.8638592624710715e-07,0
R_11M3ODO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_11MDAMCA,337,13,0.00012774940648669538,0.002241778917986074,2.8638592624710715e-07,0
R_11MHDOD,1,287,0.00019129500001113475,0.002160880084620233,4.1336555581148835e-07,0
R_11MTRDOC,341,26,0.00011027610809277208,0.002232574120426246,2.4619958502925027e-07,0
R_12M3HTDH,1,287,0.00019130931761833665,0.0021608999453580566,4.134002939879508e-07,0
R_12M3HTHL,1,287,0.00019129804770208432,0.0021608900419282082,4.1337404631974135e-07,0
R_12M3OXOT,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_12M3TDA,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_12MTACPM,337,13,0.00012773944150811433,0.002241791941921848,2.8636525063848795e-07,0
R_12MTT2E,341,27,0.0001794155960866924,0.0021111866300867034,3.7877980768726125e-07,0
R_12TTACA,341,28,0.00045115584653274306,0.0019381557534350609,8.744102996533013e-07,0
R_ACALD,49,241,0.002337404685610981,0.002001681292268415,4.678739231648037e-06,0
R_3OAS120_2,338,12,0.0006713369120444542,0.0012576707877798381,8.443208230366326e-07,0
R_13M3HTDAHL,1,287,0.00019129804770208432,0.002160890041928208,4.133740463197413e-07,0
R_13M3OTDAO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_13MTDAM,337,13,0.00012773944150811433,0.002241791941921848,2.8636525063848795e-07,0
R_13MTTDAO,341,27,0.0001794155960866924,0.0021111866300867034,3.7877980768726125e-07,0
R_14M3HDEC,1,287,0.00019129804770208432,0.0021608900419282082,4.1337404631974135e-07,0
R_ACALDt,0,3,0.0,37.47668884602654,0.0,0
R_14M3HPAHL,1,287,0.00019129804770208432,0.0021608900419282082,4.1337404631974135e-07,0
R_14M3OHO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_14M3OP,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_14MHDAAD,337,13,0.00012773944150811433,0.002241791941921848,2.8636525063848795e-07,0
R_14MTACPM,337,13,0.00012773944150811433,0.002241791941921848,2.8636525063848795e-07,0
R_14MTHEAO,341,27,0.0001794155960866924,0.002111186630086703,3.787798076872612e-07,0
R_14MTP2EA,341,27,0.0001794155960866924,0.0021111866300867034,3.7877980768726125e-07,0
R_15M3HEXDA,1,287,0.00019129804770208432,0.0021608900419282082,4.1337404631974135e-07,0
R_3OAS140,337,13,0.0001249917425150244,0.002241791941921848,2.802054811769522e-07,0
R_3OAS160_2,337,12,0.00012424464732823504,0.0022530583043174975,2.7993043442987873e-07,0
R_3OAS200,337,13,0.00012773944150811444,0.002241791941921848,2.863652506384882e-07,0
R_3OAS60,338,13,0.0006716130249926373,0.0012525853123164165,8.412526106661759e-07,0
R_3OAS80_2,337,12,0.00012747329353851282,0.002253019164733101,2.871997733339176e-07,0
R_3OXDAM,337,13,0.0001277394415081144,0.0022417919419218486,2.8636525063848816e-07,0
R_4HTHRS_1,96,233,0.0001505629152597179,0.003396537280675849,5.113925547668706e-07,0
R_4ISOHELS,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_4M3G3P,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_4M3OHAT,337,13,0.00012416876592439744,0.0022465819671195777,2.789553104052432e-07,0
R_4M3OPAO,341,26,0.0006649766457630344,0.0022325741204262464,1.484609650018402e-06,1
R_4M3OXHA,341,26,0.0006649766457630346,0.0022325741204262464,1.4846096500184026e-06,1
R_4METPAC,337,13,0.00012774940648669538,0.0022417789179860746,2.863859262471072e-07,0
R_4MHEAMA,337,13,0.00012774940648669538,0.002241778917986074,2.8638592624710715e-07,0
R_4MTHACP,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_15M3OHAO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_15MHDAAD,337,13,0.00012773944150811433,0.002241791941921848,2.8636525063848795e-07,0
R_15MTHACP,341,27,0.0001794155960866924,0.0021111866300867034,3.7877980768726125e-07,0
R_16M3HDEC,1,287,0.00019129804770208432,0.0021608800846202327,4.133721415061653e-07,0
R_16M3HPAHL,1,287,0.00019129804770208432,0.0021608800846202327,4.133721415061653e-07,0
R_4MTRPE,341,26,0.00011027610809277208,0.002232574120426246,2.4619958502925027e-07,0
R_ACCOAC,11,237,0.0002940923920429488,0.005490990088347896,1.6148584097663556e-06,0
R_5DOAN,102,2,0.0005740405569309484,0.006106352149427688,3.5052937886739634e-06,1
R_5M3HHAL,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_5MET3OH,341,26,0.0006649766457630346,0.0022325741204262464,1.4846096500184026e-06,1
R_5MHACC,337,13,0.00012774940648669538,0.002241778917986074,2.8638592624710715e-07,0
R_5MTH2EO,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_6M3HHL,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_16M3OHO,341,26,0.0006649484901303223,0.0022325741204262456,1.4845467904814644e-06,1
R_16M3OP,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_16MTHEAO,341,26,0.00017897975427157525,0.00212164873733475,3.7973216965877146e-07,0
R_16MTP2EA,341,26,0.00017897975427157525,0.0021216487373347504,3.797321696587715e-07,0
R_17M3HDEC,1,287,0.00019129804770208432,0.002160880084620233,4.133721415061654e-07,0
R_17M3OHO,341,26,0.0006649484901303223,0.0022325741204262456,1.4845467904814644e-06,1
R_17MTHEAO,341,26,0.00017897975427157525,0.00212164873733475,3.7973216965877146e-07,0
R_6M3HOAHL,1,287,0.00019129500001113475,0.002160880084620233,4.1336555581148835e-07,0
R_6M3OHAO,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_ACCOAT,8,1,0.0005305259671269616,1.4162296096257934,0.0007513465833205634,0
R_6M3OXO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_6MHACPA,337,13,0.00012774940648669538,0.002241778917986074,2.8638592624710715e-07,0
R_6MOAMCA,337,13,0.00012774940648669538,0.0022417789179860746,2.863859262471072e-07,0
R_6MTHAO,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_6MTR2EO,341,26,0.00011027610809277208,0.002232574120426246,2.4619958502925027e-07,0
R_ACGAMT,6,5,0.0006965810015970038,0.15331342556204305,0.00010679521953627564,0
R_6PGALSZ_1,97,2,0.0006141600479136468,0.012845933071825452,7.889458870887819e-06,0
R_ACGApts,2,10,7.279288990040305e-07,1.0743178602939418,7.820270172241349e-07,0
R_ACGAptsw,3,10,6.109988101038954e-05,0.8774200781114828,5.36102623687383e-05,0
R_6PHBG,97,5,0.0001509989696165867,0.017817770783653108,2.690465029196142e-06,0
R_23CN2P2,96,221,0.00012936635739603503,0.0037724210748583636,4.880243730184616e-07,0
R_23CN2P3,96,221,0.00012936635739603503,0.003772690102865638,4.880591761918003e-07,0
R_6PHBG2,97,2,0.0002668769361335058,0.02149857316381678,5.737473337201433e-06,0
R_7M3HOACPL,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_7M3ODO,341,26,0.0006649484901303223,0.002232574120426246,1.4845467904814648e-06,1
R_7MOACA,337,13,0.00012774940648669538,0.0022417789179860746,2.863859262471072e-07,0
R_7MTROCAC,341,26,0.00011027610809277208,0.002232574120426246,2.4619958502925027e-07,0
R_23CN2P4,96,221,0.00012936635739603503,0.0037704156003439443,4.877649320856806e-07,0
R_2A4H6ET,1,287,0.0010863072275640875,0.0016487826177229564,1.7910844743144835e-06,1
R_2ACLMM,0,0,0.0,0.0,0.0,0
R_2MACPT,45,23,0.00035177246241357437,0.0198745451305479,6.991317679922548e-06,0
R_2MPCAC,44,23,0.00033847365786526275,0.020171180132496375,6.827413122905163e-06,0
R_8M3HDAL,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_8M3HNAHL,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_2MPCTF,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
R_ACGK_1,337,5,9.276924895587347e-05,0.002410823898195384,2.2365032240045693e-07,0
R_8M3OAO,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_8M3ONO,341,26,0.0006649484901303223,0.0022325741204262464,1.484546790481465e-06,1
R_ACGS,48,240,0.0032041960916024043,0.0016589752659640254,5.3156820632669895e-06,0
R_8MDAM,337,13,0.00012774940648669538,0.002241778917986074,2.8638592624710715e-07,0
R_SEPHCHCS,339,6,0.0012617689787212374,0.0018562088227784032,2.342106710610456e-06,1
R_SHCHCS3,1,10,0.0005508577987526928,1.973036424172237,0.0010868625014784027,0
R_8METNO,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_3A2OA,8,12,3.139285680308359e-05,0.3647642329608373,1.1450991332226188e-05,0
R_8MNAMC,337,13,0.00012774940648669538,0.0022417789179860746,2.863859262471072e-07,0
R_ACHBS,372,6,0.0006223000538202522,0.0005775746809619905,3.594247550478617e-07,0
R_8MT2ACP,341,26,0.00011027610809277208,0.0022325741204262464,2.461995850292503e-07,0
R_9M3HDL,1,287,0.00019129500001113475,0.0021608800846202327,4.133655558114883e-07,0
